estacion_code,dias_desde_ultima_fecha,ultima_fecha_reportada,fecha,hora
sp_101,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_102,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_103,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_104,1.0,2025-10-20 19:51:00,2025-10-20,19:51:00
sp_108,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_109,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_131,-1.0,2025-10-22 04:46:00,2025-10-22,04:46:00
sp_132,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_133,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_134,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_135,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_136,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_137,-1.0,2025-10-22 04:56:00,2025-10-22,04:56:00
sp_138,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_139,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_140,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_141,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_143,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_144,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_145,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_146,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_147,0.0,2025-10-21 16:41:00,2025-10-21,16:41:00
sp_149,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_150,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_151,-1.0,2025-10-22 05:41:00,2025-10-22,05:41:00
sp_154,2.0,2025-10-19 17:11:00,2025-10-19,17:11:00
sp_155,0.0,2025-10-21 16:51:00,2025-10-21,16:51:00
sn_1001,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1002,-1.0,2025-10-22 05:44:00,2025-10-22,05:44:00
sn_1003,-1.0,2025-10-22 05:44:00,2025-10-22,05:44:00
sn_1004,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1007,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1008,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1009,0.0,2025-10-21 03:23:00,2025-10-21,03:23:00
sn_1010,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1012,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1013,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1014,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1016,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sn_1018,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1019,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sn_1021,-1.0,2025-10-22 05:25:00,2025-10-22,05:25:00
sn_1022,2.0,2025-10-19 17:17:00,2025-10-19,17:17:00
sn_1030,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1031,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sn_1033,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1034,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sn_1035,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1036,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sn_1037,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1038,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sn_1039,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sn_1040,-1.0,2025-10-22 05:45:00,2025-10-22,05:45:00
sn_1041,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_502,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_503,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_504,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_505,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_506,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_507,0.0,2025-10-21 20:01:00,2025-10-21,20:01:00
sm_508,0.0,2025-10-21 21:51:00,2025-10-21,21:51:00
sm_509,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_510,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_511,0.0,2025-10-21 22:31:00,2025-10-21,22:31:00
sm_512,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_513,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_514,-1.0,2025-10-22 05:43:00,2025-10-22,05:43:00
sm_515,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
sm_516,-1.0,2025-10-22 05:46:00,2025-10-22,05:46:00
